公司名,项目名,项目年份,固定电话,手机,所在地区,来源网页
浙江东方集团建业进出口有限公司 , 2015德国柏林服装.面料及辅料展览会 , 2015 , 0571-87600029 ,  ," 浙江省,丽水市,庆元县 "," http://1132376.1024sj.com/
"
浙江金纺贸易有限公司 , 2015DTG孟加拉国际纺织及制衣工业展 , 2015 , 0571-87020852 ,  ," 浙江省,丽水市,庆元县 "," http://www.texindex.com.cn/Company/Detail/613110.html
"
浙江金纺贸易有限公司 , 2015DTG孟加拉国际纺织及制衣工业展 , 2015 , 0571-87826870 , 13655712572 ," 浙江省,丽水市,庆元县 "," http://www.b2b168.com/c168-8175138.html
"
浙江东方集团华业进出口有限公司 , 2015年2月美国拉斯维加斯服装展 , 2015 , 0571-87600819 ,  ," 浙江省,丽水市,庆元县 "," http://zjhy819zj.ce.c-c.com/
"
浙江东方集团华业进出口有限公司 , 2015年2月美国拉斯维加斯服装展 , 2015 , 0571-28815185 , 13107745520 ," 浙江省,丽水市,庆元县 "," http://17269486.1024sj.com/
"
浙江东方集团华业进出口有限公司 , 2015年2月美国拉斯维加斯服装展 , 2015 , 0571-87600666 ,  ," 浙江省,丽水市,庆元县 "," http://ccn.mofcom.gov.cn/779448/
"
重庆市璧山区捷成塑胶有限公司 , 第十届孟加拉达卡国际橡胶、印刷、包装暨食品工业展览会 , 2015 , 023-63782778 ,  ," 重庆市,重庆市,璧山县 "," http://www.hrm.cn/company/26926.html
"
重庆市璧山区捷成塑胶有限公司 , 第十届孟加拉达卡国际橡胶、印刷、包装暨食品工业展览会 , 2015 ,  , 13008314354 ," 重庆市,重庆市,璧山县 "," http://www.cqjiecheng.com/index.html
"
重庆市璧山区捷成塑胶有限公司 , 第十届孟加拉达卡国际橡胶、印刷、包装暨食品工业展览会 , 2015 ,  , 18996006366 ," 重庆市,重庆市,璧山县 "," http://cqjiecheng.ce.c-c.com/
"
重庆百德鞋服有限公司 , 2014年1月巴西圣保罗国际时尚鞋类及箱包展 , 2014 ,  , 13950064886 ," 重庆市,重庆市,巫山县 "," http://www.11467.com/jinjiang/co/11368.htm
"
巫山县东琳服装有限公司 , 2015年香港国际服装展会 , 2015 , 023-57682200 , 18227795213 ," 重庆市,重庆市,巫山县 "," http://www.wsxny.com.cn/Details.aspx?topicId=631074&ci=2170&psi=50
"
重庆三峡技术纺织有限公司 , 重庆三峡技术纺织有限公司巴西展会 , 2015 , 023-87663188 ,  ," 重庆市,重庆市,万州区 "," http://yarnbnwf.cn.texnet.com.cn/
"
重庆三峡技术纺织有限公司 , 重庆三峡技术纺织有限公司巴西展会 , 2015 , 0591-87530797 ,  ," 重庆市,重庆市,万州区 "," http://www.cntexjob.com/main/company_3370.html
"
重庆三峡技术纺织有限公司 , 重庆三峡技术纺织有限公司巴西展会 , 2015 , 023-87663200 , 13320307811 ," 重庆市,重庆市,万州区 "," http://cqrylcszq.ce.c-c.com/
"
重庆百德鞋服有限公司 , 2014年1月巴西圣保罗国际时尚鞋类及箱包展 , 2014 ,  , 17051744232 ," 重庆市,重庆市,巫山县 "," http://www.sjfzxm.com/news/difang/201411/07/415859.html
"
重庆市铜梁区安居缫丝厂（普通合伙） , 意大利服装面料展暨服装国际采购会并赴法国调研丝绸面料市场 , 2015 ,  , 14702015934 ," 重庆市,重庆市,铜梁县 "," http://www.docin.com/p-1689925973.html
"
重庆市铜梁区安居缫丝厂（普通合伙） , 意大利服装面料展暨服装国际采购会并赴法国调研丝绸面料市场 , 2015 , 023-45655113 ,  ," 重庆市,重庆市,铜梁县 "," http://www.5atl.com/Gov-40809.html
"
重庆市黎晖纺织服装有限公司 , 2015迪拜国际纺织、服装展 , 2015 ,  , 15213441711 ," 重庆市,重庆市,石柱土家族自治县 "," http://blog.sina.com.cn/s/blog_583831430102w49c.html
"
重庆市黎晖纺织服装有限公司 , 2015迪拜国际纺织、服装展 , 2015 ,  , 13501344295 ," 重庆市,重庆市,石柱土家族自治县 "," http://19012371.pe168.com/
"
重庆博纳纺织有限公司 , 法国TEXWORLD春季面料展 , 2014 , 023-66112737 ,  ," 重庆市,重庆市,南岸区 "," http://www.11467.com/chongqing/co/100113.htm
"
重庆博纳纺织有限公司 , 法国TEXWORLD春季面料展 , 2014 , 023-62982676 , 18306029051 ," 重庆市,重庆市,南岸区 "," http://www.b2b168.com/c168-13709392.html
"
重庆博纳纺织有限公司 , 法国TEXWORLD春季面料展 , 2014 , 023-62982676 ,  ," 重庆市,重庆市,南岸区 "," http://www.bonatextile.com/
"
重庆滢轩科技发展有限公司 , 印度国际食品加工及包装展 , 2015 , 168-1216914 ,  ," 重庆市,重庆市,南岸区 "," http://cqyxkj.cn.b2b168.com/
"
重庆市欧美特鞋业有限公司 , 莫斯科鞋展 , 2014 , 0595-82166626 ,  ," 重庆市,重庆市,开县 "," http://19665099.1024sj.com/
"
巫山县东琳服装有限公司 , 2015年香港国际服装展会 , 2015 ,  , 14702015904 ," 重庆市,重庆市,巫山县 "," http://poi.mapbar.com/chongqing/BD0_3/
"
重庆兴宝兴玻璃制品有限公司 , 2014年俄罗斯食品包装加工机械展 , 2014 , 0571-87382988 , 13081414380 ," 重庆市,重庆市,合川市 "," http://www.glass.cn/c_Liudebin/product.html
"
重庆兴宝兴玻璃制品有限公司 , 2014年俄罗斯食品包装加工机械展 , 2014 , 023-42412863 , 13419745917 ," 重庆市,重庆市,合川市 "," http://www.cqbxbl.cn/
"
重庆兴宝兴玻璃制品有限公司 , 2014年俄罗斯食品包装加工机械展 , 2014 , 023-42413849 , 18623669358 ," 重庆市,重庆市,合川市 "," http://liudebin.glass.com.cn/
"
